table_name,table_purpose,column_name,data_type,not_null,primary_key,foreign_key_target
carriers,Transport companies that provide trucks and drivers.,carrier_id,TEXT,False,True,
carriers,Transport companies that provide trucks and drivers.,carrier_name,TEXT,True,False,
carriers,Transport companies that provide trucks and drivers.,contact_email,TEXT,False,False,
carriers,Transport companies that provide trucks and drivers.,contact_phone,TEXT,False,False,
carriers,Transport companies that provide trucks and drivers.,active_flag,INTEGER,True,False,
drivers,Driver identity and carrier relationship.,driver_id,TEXT,False,True,
drivers,Driver identity and carrier relationship.,carrier_id,TEXT,True,False,carriers.carrier_id
drivers,Driver identity and carrier relationship.,driver_name,TEXT,True,False,
drivers,Driver identity and carrier relationship.,phone,TEXT,True,False,
drivers,Driver identity and carrier relationship.,licence_number,TEXT,True,False,
drivers,Driver identity and carrier relationship.,home_base_city,TEXT,False,False,
drivers,Driver identity and carrier relationship.,driver_status,TEXT,True,False,
vehicle_types,Reference list of vehicle classes and typical dock requirements.,vehicle_type_code,TEXT,False,True,
vehicle_types,Reference list of vehicle classes and typical dock requirements.,description,TEXT,True,False,
vehicle_types,Reference list of vehicle classes and typical dock requirements.,default_capacity_kg,INTEGER,True,False,
vehicle_types,Reference list of vehicle classes and typical dock requirements.,refrigerated_flag,INTEGER,True,False,
vehicle_types,Reference list of vehicle classes and typical dock requirements.,typical_dock_type,TEXT,True,False,
vehicles,Physical trucks assigned to shipments.,vehicle_id,TEXT,False,True,
vehicles,Physical trucks assigned to shipments.,carrier_id,TEXT,True,False,carriers.carrier_id
vehicles,Physical trucks assigned to shipments.,vehicle_type_code,TEXT,True,False,vehicle_types.vehicle_type_code
vehicles,Physical trucks assigned to shipments.,registration_number,TEXT,True,False,
vehicles,Physical trucks assigned to shipments.,capacity_kg,INTEGER,True,False,
vehicles,Physical trucks assigned to shipments.,refrigeration_capable,INTEGER,True,False,
vehicles,Physical trucks assigned to shipments.,active_flag,INTEGER,True,False,
facilities,Warehouses or distribution centres receiving shipments.,facility_id,TEXT,False,True,
facilities,Warehouses or distribution centres receiving shipments.,facility_name,TEXT,True,False,
facilities,Warehouses or distribution centres receiving shipments.,city,TEXT,True,False,
facilities,Warehouses or distribution centres receiving shipments.,state,TEXT,True,False,
facilities,Warehouses or distribution centres receiving shipments.,timezone,TEXT,True,False,
facilities,Warehouses or distribution centres receiving shipments.,open_time,TEXT,True,False,
facilities,Warehouses or distribution centres receiving shipments.,close_time,TEXT,True,False,
facilities,Warehouses or distribution centres receiving shipments.,checkin_grace_min,INTEGER,True,False,
facilities,Warehouses or distribution centres receiving shipments.,default_unload_min,INTEGER,True,False,
facilities,Warehouses or distribution centres receiving shipments.,active_flag,INTEGER,True,False,
docks,Physical loading bays at each facility.,dock_id,TEXT,False,True,
docks,Physical loading bays at each facility.,facility_id,TEXT,True,False,facilities.facility_id
docks,Physical loading bays at each facility.,dock_code,TEXT,True,False,
docks,Physical loading bays at each facility.,dock_type,TEXT,True,False,
docks,Physical loading bays at each facility.,supports_refrigerated,INTEGER,True,False,
docks,Physical loading bays at each facility.,max_vehicle_weight_kg,INTEGER,True,False,
docks,Physical loading bays at each facility.,dock_status,TEXT,True,False,
facility_contacts,Warehouse and gate contacts used for operational communication.,contact_id,TEXT,False,True,
facility_contacts,Warehouse and gate contacts used for operational communication.,facility_id,TEXT,True,False,facilities.facility_id
facility_contacts,Warehouse and gate contacts used for operational communication.,contact_role,TEXT,True,False,
facility_contacts,Warehouse and gate contacts used for operational communication.,contact_name,TEXT,True,False,
facility_contacts,Warehouse and gate contacts used for operational communication.,email,TEXT,False,False,
facility_contacts,Warehouse and gate contacts used for operational communication.,phone,TEXT,False,False,
facility_contacts,Warehouse and gate contacts used for operational communication.,active_flag,INTEGER,True,False,
facility_rules,"Facility-specific timing, no-show and compatibility rules.",rule_id,TEXT,False,True,
facility_rules,"Facility-specific timing, no-show and compatibility rules.",facility_id,TEXT,True,False,facilities.facility_id
facility_rules,"Facility-specific timing, no-show and compatibility rules.",rule_type,TEXT,True,False,
facility_rules,"Facility-specific timing, no-show and compatibility rules.",rule_value,TEXT,True,False,
facility_rules,"Facility-specific timing, no-show and compatibility rules.",description,TEXT,True,False,
facility_rules,"Facility-specific timing, no-show and compatibility rules.",effective_from,TEXT,False,False,
facility_rules,"Facility-specific timing, no-show and compatibility rules.",effective_to,TEXT,False,False,
facility_rules,"Facility-specific timing, no-show and compatibility rules.",active_flag,INTEGER,True,False,
shipments,One freight movement from an origin to a destination facility.,shipment_id,TEXT,False,True,
shipments,One freight movement from an origin to a destination facility.,order_reference,TEXT,True,False,
shipments,One freight movement from an origin to a destination facility.,carrier_id,TEXT,True,False,carriers.carrier_id
shipments,One freight movement from an origin to a destination facility.,driver_id,TEXT,True,False,drivers.driver_id
shipments,One freight movement from an origin to a destination facility.,vehicle_id,TEXT,True,False,vehicles.vehicle_id
shipments,One freight movement from an origin to a destination facility.,origin_name,TEXT,True,False,
shipments,One freight movement from an origin to a destination facility.,origin_city,TEXT,True,False,
shipments,One freight movement from an origin to a destination facility.,destination_facility_id,TEXT,True,False,facilities.facility_id
shipments,One freight movement from an origin to a destination facility.,customer_name,TEXT,True,False,
shipments,One freight movement from an origin to a destination facility.,product_category,TEXT,True,False,
shipments,One freight movement from an origin to a destination facility.,load_weight_kg,INTEGER,True,False,
shipments,One freight movement from an origin to a destination facility.,pallet_count,INTEGER,False,False,
shipments,One freight movement from an origin to a destination facility.,required_dock_type,TEXT,True,False,
shipments,One freight movement from an origin to a destination facility.,temperature_control_required,INTEGER,True,False,
shipments,One freight movement from an origin to a destination facility.,priority_code,TEXT,True,False,
shipments,One freight movement from an origin to a destination facility.,planned_departure_ts,TEXT,True,False,
shipments,One freight movement from an origin to a destination facility.,actual_departure_ts,TEXT,False,False,
shipments,One freight movement from an origin to a destination facility.,original_eta_ts,TEXT,True,False,
shipments,One freight movement from an origin to a destination facility.,latest_eta_ts,TEXT,False,False,
shipments,One freight movement from an origin to a destination facility.,expected_unload_min,INTEGER,True,False,
shipments,One freight movement from an origin to a destination facility.,current_status,TEXT,True,False,
shipments,One freight movement from an origin to a destination facility.,created_at,TEXT,True,False,
shipments,One freight movement from an origin to a destination facility.,updated_at,TEXT,True,False,
eta_updates,"Original, driver-declared or manually overridden ETA changes.",eta_update_id,TEXT,False,True,
eta_updates,"Original, driver-declared or manually overridden ETA changes.",shipment_id,TEXT,True,False,shipments.shipment_id
eta_updates,"Original, driver-declared or manually overridden ETA changes.",source_type,TEXT,True,False,
eta_updates,"Original, driver-declared or manually overridden ETA changes.",reported_by_driver_id,TEXT,False,False,drivers.driver_id
eta_updates,"Original, driver-declared or manually overridden ETA changes.",declared_eta_ts,TEXT,True,False,
eta_updates,"Original, driver-declared or manually overridden ETA changes.",confidence_code,TEXT,True,False,
eta_updates,"Original, driver-declared or manually overridden ETA changes.",delay_reason_code,TEXT,False,False,
eta_updates,"Original, driver-declared or manually overridden ETA changes.",note,TEXT,False,False,
eta_updates,"Original, driver-declared or manually overridden ETA changes.",created_at,TEXT,True,False,
appointment_slots,Time windows for one dock resource.,slot_id,TEXT,False,True,
appointment_slots,Time windows for one dock resource.,facility_id,TEXT,True,False,facilities.facility_id
appointment_slots,Time windows for one dock resource.,dock_id,TEXT,True,False,docks.dock_id
appointment_slots,Time windows for one dock resource.,slot_start_ts,TEXT,True,False,
appointment_slots,Time windows for one dock resource.,slot_end_ts,TEXT,True,False,
appointment_slots,Time windows for one dock resource.,slot_status,TEXT,True,False,
appointment_slots,Time windows for one dock resource.,block_reason,TEXT,False,False,
appointment_slots,Time windows for one dock resource.,created_at,TEXT,True,False,
appointments,"Bookings connecting a shipment to a dock slot, including history.",appointment_id,TEXT,False,True,
appointments,"Bookings connecting a shipment to a dock slot, including history.",shipment_id,TEXT,True,False,shipments.shipment_id
appointments,"Bookings connecting a shipment to a dock slot, including history.",slot_id,TEXT,True,False,appointment_slots.slot_id
appointments,"Bookings connecting a shipment to a dock slot, including history.",appointment_status,TEXT,True,False,
appointments,"Bookings connecting a shipment to a dock slot, including history.",booking_source,TEXT,True,False,
appointments,"Bookings connecting a shipment to a dock slot, including history.",is_current,INTEGER,True,False,
appointments,"Bookings connecting a shipment to a dock slot, including history.",booked_at,TEXT,True,False,
appointments,"Bookings connecting a shipment to a dock slot, including history.",confirmed_at,TEXT,False,False,
appointments,"Bookings connecting a shipment to a dock slot, including history.",cancelled_at,TEXT,False,False,
appointments,"Bookings connecting a shipment to a dock slot, including history.",cancellation_reason,TEXT,False,False,
appointments,"Bookings connecting a shipment to a dock slot, including history.",replaced_appointment_id,TEXT,False,False,appointments.appointment_id
appointments,"Bookings connecting a shipment to a dock slot, including history.",warehouse_confirmation_ref,TEXT,False,False,
appointments,"Bookings connecting a shipment to a dock slot, including history.",updated_at,TEXT,True,False,
dock_status_events,"Breakdown, maintenance and capacity events affecting a dock.",dock_event_id,TEXT,False,True,
dock_status_events,"Breakdown, maintenance and capacity events affecting a dock.",dock_id,TEXT,True,False,docks.dock_id
dock_status_events,"Breakdown, maintenance and capacity events affecting a dock.",event_type,TEXT,True,False,
dock_status_events,"Breakdown, maintenance and capacity events affecting a dock.",event_start_ts,TEXT,True,False,
dock_status_events,"Breakdown, maintenance and capacity events affecting a dock.",event_end_ts,TEXT,False,False,
dock_status_events,"Breakdown, maintenance and capacity events affecting a dock.",reason,TEXT,True,False,
dock_status_events,"Breakdown, maintenance and capacity events affecting a dock.",created_at,TEXT,True,False,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",checkin_id,TEXT,False,True,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",shipment_id,TEXT,True,False,shipments.shipment_id
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",facility_id,TEXT,True,False,facilities.facility_id
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",gate_in_ts,TEXT,False,False,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",yard_queue_enter_ts,TEXT,False,False,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",dock_in_ts,TEXT,False,False,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",unload_start_ts,TEXT,False,False,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",unload_end_ts,TEXT,False,False,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",gate_out_ts,TEXT,False,False,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",arrival_state,TEXT,False,False,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",queue_state,TEXT,False,False,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",queue_position,INTEGER,False,False,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",actual_dock_id,TEXT,False,False,docks.dock_id
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",notes,TEXT,False,False,
facility_checkins,"Actual gate, yard, dock and unloading state for a truck.",updated_at,TEXT,True,False,
chat_threads,One conversational request or exception thread.,thread_id,TEXT,False,True,
chat_threads,One conversational request or exception thread.,driver_id,TEXT,True,False,drivers.driver_id
chat_threads,One conversational request or exception thread.,shipment_id,TEXT,False,False,shipments.shipment_id
chat_threads,One conversational request or exception thread.,opened_at,TEXT,True,False,
chat_threads,One conversational request or exception thread.,closed_at,TEXT,False,False,
chat_threads,One conversational request or exception thread.,thread_status,TEXT,True,False,
chat_threads,One conversational request or exception thread.,thread_intent,TEXT,True,False,
chat_messages,"Individual driver, agent, warehouse or operations messages.",chat_message_id,TEXT,False,True,
